k,original,galerkin,wavelet_db32,standard_p4,hybrid_N12_p4_int64
193.0,747.3497497506135,747.3497497506138,689.6944954716055,292.95924118303884,689.6236006893158
194.0,734.1767769440189,734.176776944019,675.8358474592997,287.60155241870154,672.9143291662502
195.0,737.7894753643368,737.7894753643368,680.7768782502746,287.36804457710673,675.9410448034457
196.0,718.437920019513,718.4379200195131,662.959048787838,281.63938642646076,655.720141712787
197.0,724.3676796281884,724.3676796281885,665.23095266081,280.4975673649662,658.9912909521179
198.0,697.267008129577,697.267008129577,640.2161670396302,266.59725182689107,631.9490205286629
199.0,724.5060817072715,724.5060817072716,667.4171859638554,274.3863319080239,652.5384902074647
200.0,684.0419530219348,684.0419530219348,631.5303649879738,259.65129798683023,613.1877799674129
201.0,690.2364946385496,690.2364946385497,637.0067182281821,258.51881986574955,615.9178182731316
202.0,703.8552454929281,703.8552454929282,645.6002755036113,262.47795437379244,624.6287235395558
203.0,672.7627891337299,672.7627891337302,620.9273772533447,250.92869523897414,592.848816289351
204.0,699.4081056163419,699.4081056163419,639.7557076597811,256.3036620728986,612.1429684938128
205.0,654.9741447073902,654.9741447073906,601.6477167362099,240.3108265455053,569.7435236393637
206.0,673.2813725600198,673.2813725600199,617.3553795942237,244.678395115509,582.5899511978
207.0,659.0407215143725,659.0407215143728,605.7804004863435,238.70485447104835,566.3587497371117
208.0,672.3130198898833,672.3130198898833,618.9155139081706,240.75364966786765,574.7678929250187
209.0,672.0113809321318,672.011380932132,614.79380412198,238.19816960671113,565.7988897728115
210.0,630.1550772230547,630.1550772230547,578.8029681599537,222.94561107703404,529.5403003065546
211.0,646.274735847629,646.2747358476291,589.7162155836342,226.191649920278,538.386017760061
212.0,654.5371790430944,654.5371790430944,599.5834062432276,230.8454973269378,539.2709413697889
213.0,630.2197412193361,630.2197412193365,579.809452223726,218.95981393110492,514.4457759082131
214.0,647.638225127372,647.638225127372,589.330879666669,222.09868794472087,523.3798897788931
215.0,607.9814221705631,607.9814221705632,555.4816930151987,207.21195046244756,486.0587371603875
216.0,644.933156246751,644.9331562467511,587.3712355482265,220.50304781502646,511.6180783105822
217.0,621.2404645731763,621.2404645731765,568.0128542413696,213.09410188812817,486.80431512137
218.0,597.6350498676661,597.6350498676661,545.490224552773,201.39059362175908,462.65542378150406
219.0,642.7301327293694,642.7301327293695,584.8074184860466,215.80530773841474,491.54533696982764
220.0,602.0606870497934,602.0606870497934,550.8279671126743,200.79069842741717,454.85302260544233
