bin_center,original_r2,galerkin_r2,wavelet_db32_r2,standard_p4_r2,hybrid_N12_p4_int64_r2,original_r4,galerkin_r4,wavelet_db32_r4,standard_p4_r4,hybrid_N12_p4_int64_r4,original_r8,galerkin_r8,wavelet_db32_r8,standard_p4_r8,hybrid_N12_p4_int64_r8
-16.75,1.0316608516526547e-06,4.7706828271808124e-08,5.516150012555042e-06,9.839879689166021e-06,2.6179277974923187e-06,4.83267785817066e-07,5.966268174021948e-08,2.6609619560430658e-06,7.505712151419495e-06,7.099863367307146e-07,1.1944212019617323e-08,2.3888424039234647e-08,3.0457741504942685e-07,3.242862179611237e-06,2.0305161464102285e-07
-16.649998,1.0972577844166964e-06,2.3853414135904062e-08,5.18219930909225e-06,9.786207618134206e-06,2.8922436942682794e-06,4.95200323738475e-07,2.386507269608779e-08,2.744489909820202e-06,7.851762473186055e-06,8.710756736360028e-07,1.1944212019617323e-08,5.972106009808662e-09,3.4041005211406526e-07,3.332444007777293e-06,2.1499582726696537e-07
-16.55,1.2702193800323646e-06,2.981733638826853e-08,6.01719083611857e-06,9.935486207971144e-06,2.6776127593113242e-06,6.085710415190217e-07,4.1764673813049835e-08,2.971265313673152e-06,7.929476718529464e-06,7.696637342177552e-07,5.972219920429128e-09,7.166663904514953e-08,3.284721048434873e-07,3.834175376319856e-06,2.1499992804951033e-07
-16.45,1.520656168620965e-06,4.174347473783211e-08,6.01707606774923e-06,1.0281183384316498e-05,2.814719636483769e-06,5.250316685419976e-07,4.176387721815363e-08,3.090534289754054e-06,8.48419926813873e-06,7.636827823658107e-07,4.7776848078469294e-08,3.583263605885197e-08,3.70270583001264e-07,3.672854954808307e-06,2.5082846514479294e-07
-16.349998,1.4729493084289348e-06,2.981676766988008e-08,6.422587636239763e-06,1.1086264449793718e-05,2.9160972505096672e-06,5.667955512669292e-07,2.983134087010974e-08,2.8280178635973386e-06,8.4126026498422e-06,8.770419453732357e-07,4.7776848078469294e-08,1.7916318029425986e-08,3.284658397591858e-07,4.114791973760851e-06,2.806889967096492e-07
-16.25,1.5564363137649878e-06,3.5780121203856097e-08,6.7147945017697055e-06,1.0883503292562419e-05,3.1009623113804235e-06,6.68222123598906e-07,2.983134087010974e-08,3.0786017249287487e-06,8.693022738170274e-06,1.0739289127019212e-06,6.569316610789528e-08,4.7776848078469294e-08,4.001311138884627e-07,4.0849313643721654e-06,2.806889967096492e-07
-16.149998,1.5087294535729575e-06,2.3853414135904062e-08,7.036818394394541e-06,1.1384442622192689e-05,3.4289487096995064e-06,6.68222123598906e-07,1.7898804522065843e-08,3.585735730004221e-06,9.015207520504655e-06,9.72502293168962e-07,6.569316610789528e-08,4.7776848078469294e-08,4.956848127274985e-07,4.520896261446973e-06,3.5235427246530435e-07
-16.05,1.6876623687753954e-06,3.5780803665922237e-08,7.048879651429286e-06,1.1342914026147129e-05,3.2560725313674455e-06,6.443693380789642e-07,1.7899145919878502e-08,3.7289976326219277e-06,9.391268890116912e-06,1.0679830110463425e-06,4.7777759363433024e-08,2.3888879681716512e-08,5.613886882779601e-07,4.550843670959082e-06,3.6430543363944806e-07
-15.95,1.8188240448211544e-06,8.945030300964024e-08,7.00103796188067e-06,1.16706936676957e-05,3.721154773656508e-06,6.204919719132699e-07,1.0739282713239506e-07,3.94967895717603e-06,9.68940900946364e-06,1.2111531626582779e-06,2.3888424039234647e-08,6.569316610789528e-08,6.390153609860524e-07,4.8672793303557235e-06,4.479079734728445e-07
-15.85,1.806914561787507e-06,1.311950289159947e-07,7.931404846723717e-06,1.2332766824402458e-05,3.7271537074889036e-06,8.412519462324801e-07,1.2529282653540975e-07,3.824423498915854e-06,9.952024852760514e-06,1.193265727271936e-06,9.555460743321157e-08,1.254154222560902e-07,5.19578192502131e-07,5.106212901920431e-06,4.658287348838146e-07
-15.75,2.2362590715014193e-06,8.348694947566421e-08,8.640974452099737e-06,1.2338612773869392e-05,3.7867520533203245e-06,8.949403441056777e-07,1.13359095306417e-07,4.039173193365819e-06,1.0148820643533038e-05,1.2708158800306069e-06,8.360948413732126e-08,1.0152580216674725e-07,6.330432548086126e-07,5.183801789875789e-06,4.7179639872472953e-07
-15.65,2.039487723205701e-06,1.1926820810544972e-07,8.694728019942239e-06,1.3286946075806905e-05,3.912020531380353e-06,9.426794858491621e-07,1.2529282653540975e-07,4.2361009114356574e-06,1.002958859561776e-05,1.437885201362683e-06,1.1944325929151447e-07,1.254154222560902e-07,7.644368809226755e-07,5.458571453047105e-06,5.912441635063801e-07
-15.55,1.997724770541268e-06,8.945030300964024e-08,9.058412831428226e-06,1.3555179717257193e-05,3.935836779828999e-06,1.0202319922804725e-06,6.562894991424142e-08,4.72529567082087e-06,1.0948316214510948e-05,1.437871488673128e-06,1.6721896827464252e-07,5.972106009808662e-08,7.763738030671664e-07,5.733237002627601e-06,5.673500997322697e-07
-15.45,2.1766254962613814e-06,9.541365654361625e-08,9.19557115606473e-06,1.3793722255176368e-05,4.311530290630858e-06,9.725018405948364e-07,1.0739282713239506e-07,5.035542356278806e-06,1.124066907255511e-05,1.372242499563566e-06,1.7916318029425985e-07,9.555369615693859e-08,7.584574845348472e-07,6.097536437169563e-06,6.629038007398099e-07
